"National
Dex","Pokemon
Name",HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Ability I,Ability II,Hidden Ability,Weight (kg),Height (m),Pokedex Color,Egg Group I,Egg Group II,Type I,Type II
722,Rowlet,68,55,55,50,50,42,320,Overgrow ,NULL,Long Reach,1.5,0.3,Brown,Flying,NULL,Grass,Flying
723,Dartrix,78,75,75,70,70,52,420,Overgrow ,NULL,Long Reach,16,0.7,Brown,Flying,NULL,Grass,Flying
724,Decidueye,78,107,75,100,100,70,530,Overgrow ,NULL,Long Reach,36.6,1.6,Brown,Flying,NULL,Grass,Ghost
724.1,Decidueye (Hisuian),88,112,80,95,95,60,530,Overgrow,NULL,Scrappy,37,1.6,Brown,Flying,NULL,Grass,Fighting
725,Litten,45,65,40,60,40,70,320,Blaze,NULL,Intimidate,4.3,0.4,Red,Field,NULL,Fire,NULL
726,Torracat,65,85,50,80,50,90,420,Blaze,NULL,Intimidate,25,0.7,Red,Field,NULL,Fire,NULL
727,Incineroar,95,115,90,80,90,60,530,Blaze,NULL,Intimidate,83,1.8,Red,Field,NULL,Fire,Dark
728,Popplio,50,54,54,66,56,40,320,Torrent,NULL,Liquid Voice,7.5,0.4,Blue,Water 1,Field,Water,NULL
729,Brionne,60,69,69,91,81,50,420,Torrent,NULL,Liquid Voice,17.5,0.6,Blue,Water 1,Field,Water,NULL
730,Primarina,80,74,74,126,116,60,530,Torrent,NULL,Liquid Voice,44,1.8,Blue,Water 1,Field,Water,Fairy
731,Pikipek,35,75,30,30,30,65,265,Keen Eye,Skill Link,Pickup,1.2,0.3,Black,Flying,NULL,Normal,Flying
732,Trumbeak,55,85,50,40,50,75,355,Keen Eye,Skill Link,Pickup,14.8,0.6,Black,Flying,NULL,Normal,Flying
733,Toucannon,80,120,75,75,75,60,485,Keen Eye,Skill Link,Sheer Force,26,1.1,Black,Flying,NULL,Normal,Flying
734,Yungoos,48,70,30,30,30,45,253,Stakeout,Strong Jaw,Adaptability,6,0.4,Brown,Field,NULL,Normal,NULL
735,Gumshoos,88,110,60,55,60,45,418,Stakeout,Strong Jaw,Adaptability,14.2,0.7,Brown,Field,NULL,Normal,NULL
736,Grubbin,47,62,45,55,45,46,300,Swarm,NULL,NULL,4.4,0.4,Gray,Bug,NULL,Bug,NULL
737,Charjabug,57,82,95,55,75,36,400,Battery,NULL,NULL,10.5,0.5,Green,Bug,NULL,Bug,Electric
738,Vikavolt,77,70,90,145,75,43,500,Levitate,NULL,NULL,45,1.5,Blue,Bug,NULL,Bug,Electric
739,Crabrawler,47,82,57,42,47,63,338,Hyper Cutter ,Iron Fist,Anger Point,7,0.6,Purple,Water 3,NULL,Fighting,NULL
740,Crabominable,97,132,77,62,67,43,478,Hyper Cutter ,Iron Fist,Anger Point,180,1.7,White,Water 3,NULL,Fighting,Ice
741,Oricorio (Baile),75,70,70,98,70,93,476,Dancer,NULL,NULL,3.4,0.6,Red,Flying,NULL,Fire,Flying
741.1,Oricorio (Pa'u),75,70,70,98,70,93,476,Dancer,NULL,NULL,3.4,0.6,Pink,Flying,NULL,Psychic,Flying
741.2,Oricorio (Pom-Pom),75,70,70,98,70,93,476,Dancer,NULL,NULL,3.4,0.6,Yellow,Flying,NULL,Electric,Flying
741.3,Oricorio (Sensu),75,70,70,98,70,93,476,Dancer,NULL,NULL,3.4,0.6,Purple,Flying,NULL,Ghost,Flying
742,Cutiefly,40,45,40,55,40,84,304,Honey Gather ,Shield Dust,Sweet Veil,0.2,0.1,Yellow,Bug,Fairy,Bug,Fairy
