"National
Dex","Pokemon
Name",HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Ability I,Ability II,Hidden Ability,Weight (kg),Height (m),Pokedex Color,Egg Group I,Egg Group II,Type I,Type II
387,Turtwig,55,68,64,45,55,31,318,Overgrow,NULL,Shell Armor,10.2,0.4,Green,Monster,Grass,Grass,NULL
388,Grotle,75,89,85,55,65,36,405,Overgrow,NULL,Shell Armor,97,1.1,Green,Monster,Grass,Grass,NULL
389,Torterra,95,109,105,75,85,56,525,Overgrow,NULL,Shell Armor,310,2.2,Green,Monster,Grass,Grass,Ground
390,Chimchar,44,58,44,58,44,61,309,Blaze,NULL,Iron Fist,6.2,0.5,Brown,Field,Human-Like,Fire,NULL
391,Monferno,64,78,52,78,52,81,405,Blaze,NULL,Iron Fist,22,0.9,Brown,Field,Human-Like,Fire,Fighting
392,Infernape,76,104,71,104,71,108,534,Blaze,NULL,Iron Fist,55,1.2,Brown,Field,Human-Like,Fire,Fighting
393,Piplup,53,51,53,61,56,40,314,Torrent,NULL,Defiant,5.2,0.4,Blue,Water 1,Field,Water,NULL
394,Prinplup,64,66,68,81,76,50,405,Torrent,NULL,Defiant,23,0.8,Blue,Water 1,Field,Water,NULL
395,Empoleon,84,86,88,111,101,60,530,Torrent,NULL,Defiant,84.5,1.7,Blue,Water 1,Field,Water,Steel
396,Starly,40,55,30,30,30,60,245,Keen Eye,NULL,NULL,2,0.3,Brown,Flying,NULL,Normal,Flying
397,Staravia,55,75,50,40,40,80,340,Intimidate,NULL,Reckless,15.5,0.6,Brown,Flying,NULL,Normal,Flying
398,Staraptor,85,120,70,50,60,100,485,Intimidate,NULL,Reckless,24.9,1.2,Brown,Flying,NULL,Normal,Flying
399,Bidoof,59,45,40,35,40,31,250,Simple,Unaware,Moody,20,0.5,Brown,Water 1,Field,Normal,NULL
400,Bibarel,79,85,60,60,71,55,410,Simple,Unaware,Moody,31.5,1,Brown,Water 1,Field,Normal,Water
401,Kricketot,37,25,41,25,41,25,194,Shed Skin,NULL,Run Away,2.2,0.3,Red,Bug,NULL,Bug,NULL
402,Kricketune,77,85,51,55,51,65,384,Swarm,NULL,Technician,25.5,1,Red,Bug,NULL,Bug,NULL
403,Shinx,45,65,34,40,34,45,263,Rivalry,Intimidate,Guts,9.5,0.5,Blue,Field,NULL,Electric,NULL
404,Luxio,60,85,49,60,49,60,363,Rivalry,Intimidate,Guts,30.5,0.9,Blue,Field,NULL,Electric,NULL
405,Luxray,80,120,79,95,79,70,523,Rivalry,Intimidate,Guts,42,1.4,Blue,Field,NULL,Electric,NULL
406,Budew,40,30,35,50,70,55,280,Natural Cure,Poison Point,Leaf Guard,1.2,0.2,Green,Undiscovered,NULL,Grass,Poison
407,Roserade,60,70,65,125,105,90,515,Natural Cure,Poison Point,Technician,14.5,0.9,Green,Fairy,Grass,Grass,Poison
408,Cranidos,67,125,40,30,30,58,350,Mold Breaker,NULL,Sheer Force,31.5,0.9,Blue,Monster,NULL,Rock,NULL
409,Rampardos,97,165,60,65,50,58,495,Mold Breaker,NULL,Sheer Force,102.5,1.6,Blue,Monster,NULL,Rock,NULL
410,Shieldon,30,42,118,42,88,30,350,Sturdy,NULL,Soundproof,57,0.5,Gray,Monster,NULL,Rock,Steel
411,Bastiodon,60,52,168,47,138,30,495,Sturdy,NULL,Soundproof,149.5,1.3,Gray,Monster,NULL,Rock,Steel
412,Burmy (Plant),40,29,45,29,45,36,224,Shed Skin,NULL,Overcoat,3.4,0.2,Green,Bug,NULL,Bug,NULL
412.1,Burmy (Sandy),40,29,45,29,45,36,224,Shed Skin,NULL,Overcoat,3.4,0.2,Brown,Bug,NULL,Bug,NULL
412.2,Burmy (Trash),40,29,45,29,45,36,224,Shed Skin,NULL,Overcoat,3.4,0.2,Red,Bug,NULL,Bug,NULL
413,Wormadam (Plant),60,59,85,79,105,36,424,Anticipation,NULL,Overcoat,6.5,0.5,Green,Bug,NULL,Bug,Grass
413.1,Wormadam (Sandy),60,79,105,59,85,36,424,Anticipation,NULL,Overcoat,6.5,0.5,Brown,Bug,NULL,Bug,Ground
413.2,Wormadam (Trash),60,69,95,69,95,36,424,Anticipation,NULL,Overcoat,6.5,0.5,Red,Bug,NULL,Bug,Steel
414,Mothim,70,94,50,94,50,66,424,Swarm,NULL,Tinted Lens,23.3,0.9,Yellow,Bug,NULL,Bug,Flying
415,Combee,30,30,42,30,42,70,244,Honey Gather,NULL,Hustle,5.5,0.3,Yellow,Bug,NULL,Bug,Flying
416,Vespiquen,70,80,102,80,102,40,474,Pressure,NULL,Unnerve,38.5,1.2,Yellow,Bug,NULL,Bug,Flying
417,Pachirisu,60,45,70,45,90,95,405,Run Away,Pickup,Volt Absorb,3.9,0.4,White,Field,Fairy,Electric,NULL
418,Buizel,55,65,35,60,30,85,330,Swift Swim,NULL,Water Veil,29.5,0.7,Brown,Water 1,Field,Water,NULL
419,Floatzel,85,105,55,85,50,115,495,Swift Swim,NULL,Water Veil,33.5,1.1,Brown,Water 1,Field,Water,NULL
420,Cherubi,45,35,45,62,53,35,275,Chlorophyll,NULL,NULL,3.3,0.4,Pink,Fairy,Grass,Grass,NULL
421,Cherrim (Overcast),70,60,70,87,78,85,450,Flower Gift,NULL,NULL,9.3,0.5,Purple,Fairy,Grass,Grass,NULL
421.1,Cherrim (Sunshine),70,60,70,87,78,85,450,Flower Gift,NULL,NULL,9.3,0.5,Pink,Fairy,Grass,Grass,NULL
422,Shellos (East),76,48,48,57,62,34,325,Sticky Hold,Storm Drain,Sand Force,6.3,0.3,Blue,Water 1,Amorphous,Water,NULL
422.1,Shellos (West),76,48,48,57,62,34,325,Sticky Hold,Storm Drain,Sand Force,6.3,0.3,Purple,Water 1,Amorphous,Water,NULL
423,Gastrodon (East),111,83,68,92,82,39,475,Sticky Hold,Storm Drain,Sand Force,29.9,0.9,Blue,Water 1,NULL,Water,Ground
423.1,Gastrodon (West),111,83,68,92,82,39,475,Sticky Hold,Storm Drain,Sand Force,29.9,0.9,Purple,Water 1,Amorphous,Water,Ground
424,Ambipom,75,100,66,60,66,115,482,Technician,Pickup,Skill Link,20.3,1.2,Purple,Field,NULL,Normal,NULL
425,Drifloon,90,50,34,60,44,70,348,Aftermath,Unburden,Flare Boost,1.2,0.4,Purple,Amorphous,NULL,Ghost,Flying
426,Drifblim,150,80,44,90,54,80,498,Aftermath,Unburden,Flare Boost,15,1.2,Purple,Amorphous,NULL,Ghost,Flying
427,Buneary,55,66,44,44,56,85,350,Run Away,Klutz,Limber,5.5,0.4,Brown,Field,Human-Like,Normal,NULL
428,Lopunny,65,76,84,54,96,105,480,Cute Charm,Klutz,Limber,33.3,1.2,Brown,Field,Human-Like,Normal,NULL
428.1,Lopunny (Mega),65,136,94,54,96,135,580,Scrappy,NULL,NULL,28.3,1.3,Brown,Field,Human-Like,Normal,Fighting
429,Mismagius,60,60,60,105,105,105,495,Levitate,NULL,NULL,4.4,0.9,Purple,Amorphous,NULL,Ghost,NULL
430,Honchkrow,100,125,52,105,52,71,505,Insomnia,Super Luck,Moxie,27.3,0.9,Black,Flying,NULL,Dark,Flying
431,Glameow,49,55,42,42,37,85,310,Limber,Own Tempo,Keen Eye,3.9,0.5,Gray,Field,NULL,Normal,NULL
432,Purugly,71,82,64,64,59,112,452,Thick Fat,Own Tempo,Defiant,43.8,1,Gray,Field,NULL,Normal,NULL
433,Chingling,45,30,50,65,50,45,285,Levitate,NULL,NULL,0.6,0.2,Yellow,Undiscovered,NULL,Psychic,NULL
434,Stunky,63,63,47,41,41,74,329,Stench,Aftermath,Keen Eye,19.2,0.4,Purple,Field,NULL,Poison,Dark
435,Skuntank,103,93,67,71,61,84,479,Stench,Aftermath,Keen Eye,38,1,Purple,Field,NULL,Poison,Dark
436,Bronzor,57,24,86,24,86,23,300,Levitate,Heatproof,Heavy Metal,60.5,0.5,Green,Mineral,NULL,Steel,Psychic
437,Bronzong,67,89,116,79,116,33,500,Levitate,Heatproof,Heavy Metal,187,1.3,Green,Mineral,NULL,Steel,Psychic
438,Bonsly,50,80,95,10,45,10,290,Sturdy,Rock Head,Rattled,15,0.5,Brown,Undiscovered,NULL,Rock,NULL
439,Mime Jr.,20,25,45,70,90,60,310,Soundproof,Filter,Technician,13,0.6,Pink,Undiscovered,NULL,Psychic,Fairy
440,Happiny,100,5,5,15,65,30,220,Natural Cure,Serene Grace,Friend Guard,24.4,0.6,Pink,Undiscovered,NULL,Normal,NULL
441,Chatot,76,65,45,92,42,91,411,Keen Eye,Tangled Feet,Big Pecks,1.9,0.5,Black,Flying,NULL,Normal,Flying
442,Spiritomb,50,92,108,92,108,35,485,Pressure,NULL,Infiltrator,108,1,Purple,Amorphous,NULL,Ghost,Dark
443,Gible,58,70,45,40,45,42,300,Sand Veil,NULL,Rough Skin,20.5,0.7,Blue,Monster,Dragon,Dragon,Ground
444,Gabite,68,90,65,50,55,82,410,Sand Veil,NULL,Rough Skin,56,1.4,Blue,Monster,Dragon,Dragon,Ground
