"National
Dex","Pokemon
Name",HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Ability I,Ability II,Hidden Ability,Weight (kg),Height (m),Pokedex Color,Egg Group I,Egg Group II,Type I,Type II,Pokedex Desc
1,Bulbasaur,45,49,49,65,65,45,318,Overgrow,,Chlorophyll,6.9,0.7,Green,Monster,Grass,Grass,Poison,"For some time after its birth, it uses the nutrients that are packed into the seed on its back in order to grow."
2,Ivysaur,60,62,63,80,80,60,405,Overgrow,,Chlorophyll,13,1,Green,Monster,Grass,Grass,Poison,"The more sunlight Ivysaur bathes in, the more strength wells up within it, allowing the bud on its back to grow larger."
3,Venusaur,80,82,83,100,100,80,525,Overgrow,,Chlorophyll,100,2,Green,Monster,Grass,Grass,Poison,"While it basks in the sun, it can convert the light into energy. As a result, it is more powerful in the summertime."
3.1,Venusaur (Mega),80,100,123,122,120,80,625,Thick Fat,,,155.5,2.4,Green,Monster,Grass,Grass,Poison,"In order to support its flower, which has grown larger due to Mega Evolution, its back and legs have become stronger."
4,Charmander,39,52,43,60,50,65,309,Blaze,,Solar Power,8.5,0.6,Red,Monster,Dragon,Fire,,"The flame on its tail shows the strength of its life-force. If Charmander is weak, the flame also burns weakly."
5,Charmeleon,58,64,58,80,65,80,405,Blaze,,Solar Power,19,1.1,Red,Monster,Dragon,Fire,,"When it swings its burning tail, the temperature around it rises higher and higher, tormenting its opponents"
6,Charizard,78,84,78,109,85,100,534,Blaze,,Solar Power,90.5,1.7,Red,Monster,Dragon,Fire,Flying,"If Charizard becomes truly angered, the flame at the tip of its tail burns in a light blue shade."
6.1,Charizard (Mega X),78,130,111,130,85,100,634,Tough Claws,,,110.5,1.7,Black,Monster,Dragon,Fire,Dragon,The overwhelming power that fills its entire body causes it to turn black and creates intense blue flames.
6.2,Charizard (Mega Y),78,104,78,159,115,100,634,Drought,,,100.5,1.7,Red,Monster,Dragon,Fire,Flying,Its bond with its Trainer is the source of its power. It boasts speed and maneuverability greater than that of a jet fighter.
7,Squirtle,44,48,65,60,54,43,314,Torrent,,Rain Dish,9,0.5,Blue,Monster,Water 1,Water,,"After birth, its back swells and hardens into a shell. It sprays a potent foam from its mouth."
8,Wartortle,59,63,80,65,80,58,405,Torrent,,Rain Dish,22.5,1,Blue,Monster,Water 1,Water,,"Wartortle's long, furry tail is a symbol of longevity, so this Pokémon is quite popular among older people"
9,Blastoise,79,83,100,85,105,78,530,Torrent,,Rain Dish,85.5,1.6,Blue,Monster,Water 1,Water,,It deliberately increases its body weight so it can withstand the recoil of the water jets it fires.
9.1,Blastoise (Mega),79,103,120,135,115,78,630,Mega Launcher,,,101.1,1.6,Blue,Monster,Water 1,Water,,The cannon on its back is as powerful as a tank gun. Its tough legs and back enable it to withstand the recoil from firing the cannon.
10,Caterpie,45,30,35,20,20,45,195,Shield Dust,,Run Away,2.9,0.3,Green,Bug,,Bug,,
11,Metapod,50,20,55,25,25,30,205,Shed Skin,,,9.9,0.7,Green,Bug,,Bug,,
12,Butterfree,60,45,50,90,80,70,395,Compoundeyes,,Tinted Lens,32,1.1,White,Bug,,Bug,Flying,
13,Weedle,40,35,30,20,20,50,195,Shield Dust,,Run Away,3.2,0.3,Brown,Bug,,Bug,Poison,
14,Kakuna,45,25,50,25,25,35,205,Shed Skin,,,10,0.6,Yellow,Bug,,Bug,Poison,
15,Beedrill,65,90,40,40,80,75,390,Swarm,,Sniper,29.5,1,Yellow,Bug,,Bug,Poison,
