iter	MultiClass
0	4.989054315
1	4.816415857
2	4.725693887
3	4.607565485
4	4.518346443
5	4.426046964
6	4.34870658
7	4.280310955
8	4.210481985
9	4.151594415
10	4.097308466
11	4.044944123
12	3.998256716
13	3.969158779
14	3.927538722
15	3.897453534
16	3.850833945
17	3.815286312
18	3.784999487
19	3.74914006
20	3.716083783
21	3.682249126
22	3.646633612
23	3.618477159
24	3.581545859
25	3.549417242
26	3.521614972
27	3.486822525
28	3.456253132
29	3.425680185
30	3.39718467
31	3.371735904
32	3.341836128
33	3.309098637
34	3.280335666
35	3.258864112
36	3.233835573
37	3.204300957
38	3.181205347
39	3.154596607
40	3.132540297
41	3.108335694
42	3.082334384
43	3.057062719
44	3.034185015
45	3.012325972
46	2.98952947
47	2.96537775
48	2.941489754
49	2.91723098
50	2.904192309
51	2.886801369
52	2.8640259
53	2.848914792
54	2.82712759
55	2.807252259
56	2.788219378
57	2.764346625
58	2.743733359
59	2.722555312
60	2.707481194
61	2.688066993
62	2.668087556
63	2.652185138
64	2.637007705
65	2.61851044
66	2.602495566
67	2.590621843
68	2.571733138
69	2.553888295
70	2.533533554
71	2.516729205
72	2.496914549
73	2.478571519
74	2.460108814
75	2.44637442
76	2.429286046
77	2.414707628
78	2.399596832
79	2.381840734
80	2.366637308
81	2.349918295
82	2.336231268
83	2.322549656
84	2.306977138
85	2.296813333
86	2.291108668
87	2.273284492
88	2.258412992
89	2.241381873
90	2.231081816
91	2.216076089
92	2.201211478
93	2.192653307
94	2.184438256
95	2.167165254
96	2.149764729
97	2.135509256
98	2.126744311
99	2.109493593
100	2.093438704
101	2.079139091
102	2.061952824
103	2.051477863
104	2.037912799
105	2.020710314
106	2.003270997
107	1.990023401
108	1.974948089
109	1.961612334
110	1.944192845
111	1.928009249
112	1.920423217
113	1.911759712
114	1.895378737
115	1.878280535
116	1.864814025
117	1.850149454
118	1.840224845
119	1.821867828
120	1.806038987
121	1.792003207
122	1.780403635
123	1.769358255
124	1.752443355
125	1.742962908
126	1.734265924
127	1.725768303
128	1.709473309
129	1.69981817
130	1.689902158
131	1.675550616
132	1.66175758
133	1.655656789
134	1.645325064
135	1.633568004
136	1.632358202
137	1.61821295
138	1.604365357
139	1.593304694
140	1.580255279
141	1.569547406
142	1.558409997
143	1.552691621
144	1.541386557
145	1.530594461
146	1.517871629
147	1.507949251
148	1.495767602
149	1.482906705
150	1.478492935
151	1.469444409
152	1.460333954
153	1.453643014
154	1.445286276
155	1.436949343
156	1.426520722
157	1.417408608
158	1.410137335
159	1.403139791
160	1.396964035
161	1.383996855
162	1.372683105
163	1.362189059
164	1.35473027
165	1.351712108
166	1.344910179
167	1.341371391
168	1.330761409
169	1.328562086
170	1.322353783
171	1.314496741
172	1.31130579
173	1.30805709
174	1.302465251
175	1.294264711
176	1.285312127
177	1.274803681
178	1.264863459
179	1.2588433
180	1.254447688
181	1.250620947
182	1.240078033
183	1.232785113
184	1.225870149
185	1.22078121
186	1.217930987
187	1.208678069
188	1.202415049
189	1.192921017
190	1.183893859
191	1.181731704
192	1.172939177
193	1.163786382
194	1.159479161
195	1.157411142
196	1.149173545
197	1.145953906
198	1.138257126
199	1.132605326
200	1.12825627
201	1.121867845
202	1.112615959
203	1.108104433
204	1.104206846
205	1.098195479
206	1.090700418
207	1.082884825
208	1.079905564
209	1.075195169
210	1.068664758
211	1.060172217
212	1.055155935
213	1.049368036
214	1.04634937
215	1.041473031
216	1.035539322
217	1.028712791
218	1.020831079
219	1.01421991
220	1.008900831
221	1.004700213
222	0.9968689583
223	0.9896464052
224	0.9836114038
225	0.9793989022
226	0.9739630626
227	0.9666742088
228	0.9616912039
229	0.9551638729
230	0.9524259243
231	0.9515317146
232	0.945056746
233	0.9390234333
234	0.9359513063
235	0.9311920301
236	0.9230635739
237	0.9161864076
238	0.9123045397
239	0.9087076321
240	0.9014550189
241	0.8982740265
242	0.8927131569
243	0.8883931303
244	0.8832838481
245	0.8775049262
246	0.8746033377
247	0.8707279023
248	0.8657110815
249	0.8611168522
250	0.8558738649
251	0.8532683228
252	0.8482189999
253	0.8439559087
254	0.8370660934
255	0.8305934224
256	0.8301594506
257	0.8225634356
258	0.814987696
259	0.8110052135
260	0.8067516181
261	0.8030277158
262	0.796369847
263	0.7887593384
264	0.7847301506
265	0.7789112117
266	0.775810641
267	0.7703620988
268	0.7665921826
269	0.7629026281
270	0.7588472776
271	0.7569484651
272	0.7506484193
273	0.7452282325
274	0.7415135505
275	0.7365832157
276	0.730536211
277	0.7258627628
278	0.7229916079
279	0.7184987081
280	0.715612324
281	0.7123228708
282	0.7107002194
283	0.706126359
284	0.7010823735
285	0.6964618724
286	0.6940880211
287	0.6882417006
288	0.683484039
289	0.6806913773
290	0.6771067434
291	0.6728756712
292	0.6695611958
293	0.6660059407
294	0.6602640285
295	0.6581210386
296	0.6560602961
297	0.650925038
298	0.6476383602
299	0.642500651
300	0.6383219304
301	0.6339976318
302	0.6311385175
303	0.6292944807
304	0.6279311492
305	0.6260140966
306	0.6244525972
307	0.6230181499
308	0.6203693743
309	0.6168777329
310	0.6140166324
311	0.6122171172
312	0.6108033424
313	0.607062193
314	0.6034951869
315	0.6013552916
316	0.5982845326
317	0.5952411122
318	0.5910122512
319	0.5890533109
320	0.586511433
321	0.5832101031
322	0.5798975293
323	0.5766081348
324	0.5740550441
325	0.5708955804
326	0.5675385678
327	0.565432376
328	0.5624696644
329	0.5600450473
330	0.5575808382
331	0.5550032006
332	0.5527046065
333	0.5506459319
334	0.5478589631
335	0.5443934457
336	0.541855802
337	0.5390844579
338	0.5368115675
339	0.5345952632
340	0.5324185418
341	0.5304048783
342	0.5267455682
343	0.524810437
344	0.521739584
345	0.5197882622
346	0.5173963101
347	0.5141046497
348	0.5128106516
349	0.509901731
350	0.506875949
351	0.5041871398
352	0.5003942639
353	0.4981270961
354	0.4972342654
355	0.4951348335
356	0.4931518487
357	0.4905976826
358	0.4894456058
359	0.4870814828
360	0.4851421266
361	0.4821610472
362	0.4796966762
363	0.476171381
364	0.4749966055
365	0.4741362085
366	0.4730415786
367	0.4695874126
368	0.468610814
369	0.4674510801
370	0.4646867856
371	0.4632847017
372	0.4614803338
373	0.4589102007
374	0.4571376226
375	0.4545634046
376	0.4533261233
377	0.4518240705
378	0.4508432787
379	0.4495835649
380	0.4471083331
381	0.445698176
382	0.4432500509
383	0.4416248393
384	0.4396488934
385	0.4384557308
386	0.4365865625
387	0.4346279638
388	0.4321886151
389	0.4304250377
390	0.4275124721
391	0.42565001
392	0.4238989902
393	0.4230863635
394	0.4218372566
395	0.4202617406
396	0.4180408521
397	0.4160526469
398	0.4149929592
399	0.413558086
400	0.410931169
401	0.4096734247
402	0.4071536995
403	0.4055990957
404	0.4038108116
405	0.402322314
406	0.4006624763
407	0.3996859069
408	0.3973831521
409	0.396345348
410	0.3948297859
411	0.3930722173
412	0.3930159878
413	0.3909967241
414	0.3896998075
415	0.3872548454
416	0.3853767421
417	0.3845370645
418	0.3838781366
419	0.3819042079
420	0.3810485681
421	0.3806061304
422	0.3783888885
423	0.3765532164
424	0.37526044
425	0.3727923134
426	0.3723023793
427	0.3710794967
428	0.3689052318
429	0.3681153045
430	0.366570296
431	0.3648115909
432	0.3640519397
433	0.3628402425
434	0.3621587716
435	0.3610239897
436	0.3592819596
437	0.3580229083
438	0.356258964
439	0.3547024301
440	0.353470023
441	0.3525724372
442	0.3511378103
443	0.3503650326
444	0.3491534387
445	0.3479826141
446	0.3470960641
447	0.3460680807
448	0.3447894712
449	0.3426162368
450	0.3410009436
451	0.3399615373
452	0.3390134826
453	0.3387538722
454	0.3373849058
455	0.3361579591
456	0.334564226
457	0.3334446706
458	0.3323344418
459	0.3309114083
460	0.3293063371
461	0.3274014275
462	0.3265220865
463	0.3259064604
464	0.3243411989
465	0.3235522043
466	0.3226561969
467	0.3211844831
468	0.320302406
469	0.3199126372
470	0.3193596675
471	0.3180297431
472	0.3172436763
473	0.315671561
474	0.3142623882
475	0.313117978
476	0.3124606799
477	0.3105865128
478	0.3093104002
479	0.3085306134
480	0.3081543576
481	0.3069419098
482	0.3053575972
483	0.304070653
484	0.30312266
485	0.3027349196
486	0.3012366625
487	0.2999047365
488	0.2991552366
489	0.2979517183
490	0.2965957525
491	0.2947072572
492	0.2943578987
493	0.2935113006
494	0.2922357403
495	0.2918609119
496	0.2909407252
497	0.2905898658
498	0.2902218377
499	0.2893012015
500	0.288045762
501	0.2865605896
502	0.2857056526
503	0.2847093765
504	0.2841679937
505	0.2834593572
506	0.2826968016
507	0.2818156357
508	0.2807884211
509	0.2805145275
510	0.2794696125
511	0.2782836792
512	0.2770837481
513	0.2765355905
514	0.2758044443
515	0.2750719173
516	0.2743721901
517	0.2731338106
518	0.2727040189
519	0.2721762356
520	0.2712818054
521	0.2706720378
522	0.2697399164
523	0.2686621589
524	0.268120356
525	0.2671205896
526	0.2663804145
527	0.2653655714
528	0.2647435773
529	0.2637208915
530	0.2626983209
531	0.2622480959
532	0.2612498218
533	0.260543532
534	0.2594070775
