iter	Passed	Remaining
0	8778	8770147
1	16912	8439164
2	24556	8160940
3	33623	8372315
4	43562	8668913
5	52498	8697207
6	61391	8708858
7	68983	8553918
8	78554	8649775
9	85836	8497816
10	95959	8627638
11	106163	8740797
12	116858	8872239
13	126313	8896074
14	138118	9069782
15	148235	9116459
16	158117	9142904
17	167392	9132189
18	176263	9100756
19	184972	9063637
20	193237	9008563
21	203116	9029445
22	212481	9025858
23	223136	9074207
24	233838	9119688
25	243317	9115048
26	253215	9125119
27	262586	9115512
28	271863	9102728
29	280729	9076918
30	291291	9105215
31	299620	9063519
32	310806	9107580
33	320582	9108311
34	330289	9106548
35	338137	9054578
36	348611	9073333
37	357446	9049046
38	367909	9065664
39	377343	9056252
40	386737	9045895
41	397655	9070339
42	408128	9083236
43	416844	9056893
44	426110	9043003
45	435127	9024170
46	445064	9024388
47	455076	9025679
48	466005	9044303
49	478376	9089145
50	487317	9067920
51	497799	9075273
52	506889	9057069
53	515538	9031468
54	525174	9023456
55	535900	9033755
56	546345	9038656
57	556271	9034624
58	566051	9028044
59	576656	9034282
60	586891	9034276
61	596745	9028174
62	606708	9023580
63	617688	9033699
64	627004	9019211
65	635519	8993556
66	646661	9004995
67	658519	9025589
68	668410	9018699
69	686932	9126394
70	705297	9228472
71	727290	9373969
72	746416	9478467
73	764362	9564856
74	785393	9686523
75	803445	9768199
76	821904	9852184
77	837309	9897422
78	853606	9951535
79	873026	10039805
80	889014	10086468
81	907320	10157565
82	923765	10205937
83	947836	10335934
84	965919	10397841
85	984032	10458208
86	1007691	10574971
87	1027355	10647142
88	1045795	10704715
89	1066799	10786529
90	1088513	10873175
91	1105001	10905884
92	1124584	10967722
93	1143873	11024995
94	1162870	11077870
95	1181965	11130173
96	1201155	11181892
97	1222622	11253118
98	1240123	11286374
99	1259095	11331862
100	1277417	11370277
101	1296402	11413422
102	1313762	11441217
103	1329752	11456325
104	1351771	11522239
105	1369305	11548674
106	1387931	11583386
107	1406981	11620624
108	1427458	11668489
109	1445909	11698725
110	1462631	11714228
111	1482345	11752880
112	1501715	11787801
113	1523803	11842890
114	1544823	11888425
115	1564510	11922652
116	1584006	11954507
117	1603465	11985224
118	1624189	12024461
119	1641429	12037148
120	1661000	12066272
121	1676304	12063893
122	1695038	12085764
123	1711425	12090394
124	1727032	12089226
125	1747528	12121745
